Version,Average_Score
V10 1.3.5 Pers Mid,0.12485132683758379
V11 1.3.5.5 Pers Mid Focused,0.12397379993840497
V12 1.3.6 Pers Long,0.12456302606949096
V13 1.3.6.5 Pers Long Focused,0.12247265199268302
V14 1.4 Pers Long Focused Different Negative,0.09494543834416952
V3-1.3 Original Prompt,0.10982356510228578
V4-1.3 Common Prompt,0.10982356510228578
V5-1.3.1 Main Positive Prompt,0.06513714859331092
V6 1.3.2 Full Posprompt,0.11434132481614744
V7 1.3.3 Custom,0.05621357931307066
V8 1.3.4 Pers Close,0.07561835812197788
V9 1.3.4.5 Pers Close Focused,0.060125794123720204
