Version,Average_Top_5_Score
V3-1.3 Original Prompt,0.1671398192644119
V4-1.3 Common Prompt,0.1671398192644119
V5-1.3.1 Main Positive Prompt,0.11048290133476253
V6 1.3.2 Full Posprompt,0.1795094430446624
V7 1.3.3 Custom,0.16028694361448287
V8 1.3.4 Pers Close,0.17646985501050944
V9 1.3.4.5 Pers Close Focused,0.1755647704005241
V10 1.3.5 Pers Mid,0.2121538013219833
V11 1.3.5.5 Pers Mid Focused,0.21094026565551757
V12 1.3.6 Pers Long,0.21436391770839686
V13 1.3.6.5 Pers Long Focused,0.2115596204996109
V14 1.4 Pers Long Focused Different Negative,0.1947401881217956

